Budget Item Code,Georgian Name,Budget Item Type,English Translation
45 04,"საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ, უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი",Program,"Grant For St. Nino's Orphaned, Abandoned And Homeless Children's Boarding House"
24 01 01,ეკონომიკური პოლიტიკის შემუშავება განხორციელება და სახელმწიფო ქონების პრივატიზება,Program,"Economic Policy Making, Implementation And Privatization Of State Property"
35 03 02 01,დაავადებათა ადრეული გამოვლენა და სკრინინგი,Program,Early Identification And Screening Of Diseases
32 04 03,"სახელმწიფო სასწავლო, სამაგისტრო გრანტები და ახალგაზრდების წახალისება",Program,Support Of Science And Scientific Research
45 10,ა ა იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,Program,Grant For NNLP Rehabilitation And Adaptation Centre For Children With Hear Impairment
35 02 01,საპენსიო უზრუნველყოფა,Program,Payment of Pensions
36 02 04,ენერგეტიკის ინფრასტრუქტურის განვითარება (USAID),Program,Energy Infrastructure Development (USAID)
35 03 03 01,ფსიქიკური ჯანმრთელობა,Program,Psychic Healthcare
51 11 07,აჭარის მყარი ნარჩენების პროექტი (EBRD),Program,Adjara Solid Waste Project (EBRD)
23 00,საქართველოს ფინანსთა სამინისტრო,SpendingAgency,The Ministry of Finance
32 02 11,საჯარო სკოლის მოსწავლეების ტრანსპორტით უზრუნველყოფა,Program,Transportation Provision For Public School Students
34 00,საქართველოს ოკუპირებული ტერიტორიებიდან იძულებით გადაადგილებულ პირთა განსახლებისა და ლტოლვილთა სამინისტრო,SpendingAgency,"Ministry OF Internally Displaced Persons From The Occupied Territories, Accommodation And Refugees Of Georgia"
09 01,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,Program,Development And Stimulation Of General Court System
53 10,საქართველოს სახელმწიფო ჯილდოებისათვის დაწესებული ერთდროული ფულადი პრემიების გაცემის ფინანსური უზრუნველყოფა,Program,Financial Support Of Monetary State Rewards 
36 01 01,ენერგეტიკის სამინისტროს აპარატი,SpendingAgency,"Office of the Ministry of Energy
"
35 01,შრომის ჯანმრთელობისა და სოციალური დაცვის პროგრამების მართვა,Program,"Labor, Health and Social Security Program Management"
32 02 03,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,Program,Safe Education Environment
32 02 08,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ ტექნიკური პერსონალის ფინანსური დახმარება,Program,Financial Support To Teachers And Administrative- Technical Personnel Of Occupied Regions
30 03,სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება გადამზადება და სასწავლო პროცესის ხელშეწყობა,Program,Training And Retraining Of Highly Qualified Staff For Law Enforcement Bodies And Stimulation Of Education Process
58 05,საქართველოს პრეზიდენტის სარეზერვო ფონდი,Program,Presidential Reserve Fund
49 04 01 01,აფხაზეთის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,Program,Transfer for Autonomous Republic Of Abkhazia 
25 02,საგზაო ინფრასტრუქტურის გაუმჯობესების ღონისძიებები,Program,Road Infrastructure Development Measures
32 05,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის განვითარება,Program,Development Of Education Facility Infrastructure
29 03,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,Program,Healthcare and Social Security of Employees of the Ministry of Defense of Georgia
06 02,არჩევნების ჩატარების ღონისძიებები,Program,Organization Of Elections
19 00,"სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია გორის, კასპის, ქარელისა და ხაშურის მუნიციპალიტეტებში",SpendingAgency,"Administration of the State Representative – Governor in GORI, KASPI, KARELI and KHASHURI Municipalities"
37 01 04,ქართული აგროსასურსათო პროდუქციის პოპულარიზაცია,Program,Modernization Of Melioration Systems
32 05 01,ზოგადსაგანმანათლებლო დაწესებულებებისა და მოსწავლეების ინფორმაციულ საკომუნიკაციო ტექნოლოგიებით უზრუნველყოფა,Program,Provision Of Information And Communication Technologies For General Education Institutions And School Children 
35 03 04 06,იშვიათი დაავადებების მქონე და მუდმივ ჩანაცვლებით მკურნალობას დაქვემდებარებულ პაციენტთა მკურნალობა,Program,Treatment Of People with Rare Diseases And Permanent Treating Submission
35 03 03 10,ნარკომანია,Program,Heart Surgery
35 01 01,შრომის ჯანმრთელობისა და სოციალური დაცვის სფეროში პოლიტიკის შემუშავება და მართვა,Program,"Policy-Making And Management In The Areas Of Labor, Healthcare And Social Security"
32 02 05,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,Program,Provision Of Education And Living Standards To Children With Special Needs And Development Of Inclusive Education
27 02 03,უფასო იურიდიული დახმარება,Program,Free Legal Assistance
32 04 03,მეცნიერებისა და სამეცნიერო კვლევების ხელშეწყობა,Program,Support Of Science And Science Research
32 02 10,ეროვნული სასწავლო გეგმების დანერგვა და მონიტორინგი,Program,Development Of Civic Education Among The Youth
33 03,სახელოვნებო განათლების სისტემის ხელშეწყობა,Program,Stimulation Of Arts Education System
23 03,ეკონომიკური დანაშაულის პრევენცია,Program,Prevention Of Economic Crime
24 03,ინვესტიციების მოზიდვის ხელშეწყობა,Program,Stimulated Attraction Of Investments
37 01 05,სასოფლო-სამეურნეო კოოპერატივების ხელშეწყობის ღონისძიებები,Program,"Promotion Of Georgian Agriculture Produce, Wine And Cuisine"
50 00,სსიპ - საჯარო სამსახურის ბიურო,SpendingAgency,NNLP - Civil Service Bureau
35 03 03 19,ზოგადი ამბულატორია,Program,General Out-Patient Care
44 00,სამხრეთ ოსეთის ადმინისტრაცია,SpendingAgency,Administration Of South Ossetia
58 07,წინა წლებში წარმოქმნილი დავალიანების დაფარვისა და სასამართლო გადაწყვეტილებების აღსრულების ფონდი,Program,"Repayment of Debt Accumulated In Previous Years and court decisions execution fund
"
35 01 02,სამედიცინო საქმიანობის რეგულირების პროგრამა,Program,Program For Regulation Of Medical Operation
32 07,ათასწლეულის გამოწვევა საქართველოს,Program,NNLP - Civil Service Bureau
24 02,ტექნიკური და სამშენებლო სფეროს რეგულირება,Program,Technical And Construction Sector Regulation
04 00,საქართველოს მთავრობის კანცელარია,SpendingAgency,State Chancellery Of The Government Of Georgia
36 03 01,ენგურის ჰიდროელექტროსადგურის რეაბილიტაციის პროექტი ევროპის რეკონსტრუქციისა და განვითარების ბანკი,Program,"Rehabilitation Project Of Enguri Hydroelectric Power European Bank for Reconstruction and Development
"
53 11 02,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება გერმანიის რეკონსტრუქციის საკრედიტო ბანკი,Program,Co-Funding Of Operation Costs For KfW's Local Office German Reconstruction Credit Bank
45 04,საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი,Program,"Grant For St. Nino's Orphaned, Abandoned And Homeless Children's Boarding House"
06 00,საქართველოს ცენტრალური საარჩევნო კომისია,SpendingAgency,The Central Election Commission
32 02 01,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,Program,Financing Of General Education Schools
36 02,ენერგეტიკული ინფრასტრუქტურის მშენებლობა-რეაბილიტაცია,SpendingAgency,Construction And Rehabilitation Of Energy Infrastructure
45 07,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,Program,Grant for Rehabilitation Centre existing In  St. George Monastery
36 04 04,"შავი ზღვის ელექტროგადამცემი ქსელის პროექტი (გერმანიის რეკონსტრუქციის საკრედიტო ბანკი, ევროპის საინვესტიციო ბანკი, ევროპის რეკონსტრუქციისა და განვითარების ბანკი)",Program,"Black Sea Transmission Network Project (German Reconstruction Credit Bank, the European Investment Bank, European Bank for Reconstruction and Development)"
38 07,"გარემოს დაცვის სფეროში მონიტორინგი, პროგნოზირება და პრევენცია",Program," Monitoring, Forecasting And Prevention In Environmental Field"
21 00,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,SpendingAgency,Office Of The State Minister For The Georgian Diaspora
32 04,უმაღლესი საგანმანათლებლო და სამეცნიერო კვლევების პროგრამა,Program,Higher Education And Scientific Research Program
35 03 04,მოსახლეობისათვის სამედიცინო მომსახურების მიწოდება პრიორიტეტულ სფეროებში,Program,Post Graduate Health Education
58 10 02,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება (KfW),Program,Co-Funding Of Operation Costs For KfW's Local Office(KfW)
32 03 02,ეროვნული უმცირესობების პროფესიული გადამზადება,Program,Vocational Education For Ethnic Minorities
29 00,საქართველოს თავდაცვის სამინისტრო,SpendingAgency,Ministry of Defence
11 00,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია აბაშის ზუგდიდის მარტვილის მესტიის სენაკის ჩხოროწყუს წალენჯიხის ხობის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ფოთში,SpendingAgency,"Administration of the State Representative – Governor in ABASHA, ZUGDIDI, MARTVILI, MESTIA, SENAKI, CHKHOROTSKU, TSALENJIKHA, KHOBI Municipalities and the Local Self Governing City of POTI"
37 01 01,სოფლის მეურნეობის განვითარების პოლიტიკის შემუშავება და მართვა,Program,Policy Making And Management In Agriculture Development
27 02 02,სრულყოფილი პრობაციის სისტემა,SpendingAgency,Establishment of Comprehensive Probation System
26 10,იუსტიციის სახლის მომსახურებათა განვითარება და ხელმისაწვდომობა,Program,Development and Accessibility To Public Service Hall Services 
09 00,საერთო სასამართლოები,SpendingAgency,General courts
37 01 07,თანამედროვე ტექნოლოგიების პოპულარიზაცია,Program,Stimulation Of Regional Agriculture Land Use
49 04,ავტონომიური რესპუბლიკებისა და ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,Program,Transfers to Autonomous Republics and Local Self- Government Entities
25 01,რეგიონებისა და ინფრასტრუქტურის განვითარების პოლიტიკის შემუშავება და მართვა,Program,Regional And Infrastructure Development Policy Making And Management
49 14 09,რუსთავის მყარი ნარჩენების პროექტი (EBRD),Program,Rustavi Solid Waste Project (EBRD)
45 13,ა(ა)იპ ფოთის საგანმანათლებლო და კულტურულ-გამაჯანსაღებელი ცენტრი,Program,"NNLP Poti Educational And Cultural Center
"
35 02 02,მოსახლეობის მიზნობრივი ჯგუფების სოციალური დახმარება,Program,Social Security
51 11 09,ათასწლეულის გამოწვევა საქართველოს მეორე პროექტი (MCC),SpendingAgency,Second Project Of Millennium Challenge Georgia (MMC)
51 11 06,ხელვაჩაურის მუნიციპალიტეტის კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (KfW),Program,Rehabilitation of Khelvachauri Municipality Communal Infrastructure Facilities 
36 01 02,მოსახლეობის ელექტროენერგიითა და ბუნებრივი აირით მომარაგების გაუმჯობესება,Program,Electricity and gas supply improvement
05 00,საქართველოს კონტროლის პალატა,SpendingAgency,Chamber Of Control Of Georgia
35 00,საქართველოს შრომის ჯანმრთელობისა და სოციალური დაცვის სამინისტრო,SpendingAgency,Ministry Of Labour Health and Social Affairs Georgia
35 03,ჯანმრთელობის დაცვის პროგრამა,Program,Healthcare Program
40 00,საქართველოს სახელმწიფო დაცვის სპეციალური სამსახური,SpendingAgency,Special Security Service Of Georgia
37 01 02,სასოფლო სამეურნეო ტექნიკის განახლება,Program,Refurbishment Of Agriculture Machinery
35 03 02 02,იმუნიზაცია,Program,Immunization
37 01 14,აგროსექტორის ხელშეწყობა/განვითარება,Program,"Promotion / Development Of Agricultural Sector
"
46 00,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,SpendingAgency,LEPL – National Forensics Bureau Named After Levan Samkharauli
27 02,სისხლის სამართლის სისტემის რეფორმა,Program,Criminal Justice Reform
42 00,სსიპ – საზოგადოებრივი მაუწყებელი,SpendingAgency,LEPL – Public Broadcaster
36 03 03,ენერგეტიკის ინფრასტრუქტურის განვითარება ამერიკის შეერთებული შტატების საერთაშორისო განვითარების სააგენტო,Program,Development of Energy Infrastructures The United States Agency for International Development
53 11 05,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (II ფაზა გერმანიის რეკონსტრუქციის საკრედიტო ბანკი,Program,Rehabilitation Of Communal Infrastructure (II phase of the German Reconstruction Credit Bank
30 05,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,Program,Creation And Management Of Strategic Reserves
32 04 02,გამოცდების ორგანიზება,Program,Organization Of Examinations
37 01 05,სასოფლო სამეურნეო კოოპერატივების ხელშეწყობის ღონისძიებები,Program,"PROMOTION OF GEORGIAN AGRICULTURE PRODUCE, WINE AND CUISINE"
24 04,სტანდარტიზაციისა და მეტროლოგიის სფეროს განვითარება,Program,Development Of Standardization And Metrology
49 04 02,ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,Program,Transfers to Local Self-Government Agencies 
51 11 08,გოდერძის ხეობაში სათხილამურო საბაგიროების მოწყობა (UniCredit Bank Austria AG),Program,Goderzi Valley Ski Cable Arrangement (UniCredit Bank Austria AG)
26 08,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,Program,Support The Development Of Informational Technologies
25 02 01,საავტომობილო გზების პროგრამების მართვა,Program,Motorway Program Management
28 02,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,Program,Improvement Of Staff Qualifications In International Relations
35 03 02,საზოგადოებრივი ჯანმრთელობის დაცვა,Program,Public Healthcare
45 12,ა ა იპ - ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,Program,Grant for NNLP Training Centre in Akhalkalaki And Kumurdo
47 00,სსიპ – საქართველოს სტატისტიკის ეროვნული სამსახური – საქსტატი,Spending Agency,NNLP - National Statistic Office of Georgia - Geostat
32 02 07,ინგლისური ენის გაძლიერება,Program,English Language Teaching
27 01,პენიტენციური სისტემის პოლიტიკის შემუშავება და მართვა,Program,Policy Making And Management For Penitentiary System
35 03 02 07,ჯანდაცვის სექტორის განვითარების პროექტი (WB),Program,Healthcare Sector Development Project (WB)
35 03 02 04,უსაფრთხო სისხლი,Program,Safe Blood
49 13 02,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება (KfW),Program,Co-Funding Of Operation Costs For KfW's Local Office(KfW)
32 02 02,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,Program,Simulation Of Professional Development Of Teachers
03 00,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,Program,National Security Council of Georgia
35 01 05,სახელმწიფო ზრუნვის პროგრამა,Program,Program of State Care
38 03,დაცული ტერიტორიების სისტემის ჩამოყალიბება და მართვა,Program,"Monitoring, Projections And Prevention In The Environment 1,7"
45 02,ა(ა)იპ საქართველოს საპატრიარქოს წმიდა სვიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრი,Program,NNLP Theological Teaching Centre of St. Svimon Kananeli Church
34 02,ორგანიზებულად ჩასახლების ადგილებში დევნილთა შენახვა და მათი საცხოვრებელი პირობების გაუმჯობესება,Program,Financial Support Of Refugees Settled In An Organized Manner And Improvement Of Their Living Standards
53 04 02,ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,Program,Transfers to Local Self-Government Agencies
52 00,სავაჭრო-სამრეწველო პალატა,SpendingAgency,Chamber of Commerce
25 00,საქართველოს რეგიონული განვითარებისა და ინფრასტრუქტურის სამინისტრო,SpendingAgency,Ministry Of Regional Development And Infrastructure Of Georgia
46 00,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,SpendingAgency,LEPL – National Forensics Bureau Named After Levan Samkharauli
06 06,ამომრჩეველთა სიების დაზუსტების უზრუნველყოფის პროგრამა“,Program,Program for Specifying Voters List
45 01,სასულიერო განათლების ხელშეწყობის გრანტი,Program,Theological Education Assistance Grant
35 03 04 02,დიაბეტის მართვა,Program,"Management Of Diabetes
"
25 02 03,ჩქაროსნული ავტომაგისტრალების მშენებლობა,Program,Construction Of Express Highway
35 02 05,მოსახლეობის ელექტროენერგიის ვაუჩერით უზრუნველყოფა,Program,Provide People With Electric Power Voucher
58 10 01,"ორმხრივი, რეგიონალური და რეგიონთაშორისი პროექტები (GIZ)",Program,Bilateral Regional And Inter-Regional Projects (GIZ)
39 01,სპორტისა და ახალგაზრდობის საქმეთა სფეროების სახელმწიფო პოლიტიკის შემუშავება და მართვა,Program,State Policy Making And Program Management In The Sports And Youth Affairs
25 05,იძულებით გადაადგილებული პირების მხარდაჭერა,Program,Support To IDPs
43 00,სსიპ – კონკურენციისა და სახელმწიფო შესყიდვების სააგენტო,SpendingAgency,LEPL – Competition And Public Procurement Agency 2
36 03,ყაზბეგის მუნიციპალიტეტისა და დუშეთის მუნიციპალიტეტის მაღალმთიანი სოფლების მოსახლეობისათვის მიწოდებული ბუნებრივი აირის ღირებულების ანაზღაურების ღონისძიება,Program,Compensation For The Consumed Natural Gas In High Terrain Regions Of Kazbegi And Dusheti Municipalities
37 01 06,სოფლის მეურნეობის დარგში სამეცნიერო კვლევითი ღონისძიებების განხორციელება,Program,Promotion Of Modern Technologies
30 02,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,Program,Improved Security Of National Treasure And Diplomatic Corps
35 03 03 17,წლამდე ასაკის ბავშვთა გადაუდებელი და სტაციონარული დახმარება,Program,Urgent And Inpatient Care Of Children Below 3
27 02 01,საერთაშორისო სტანდარტების შესაბამისი პენიტენციური სისტემის ჩამოყალიბება,Program,Establishment Of Penitentiary System With International Standards
35 03,მოსახლეობის ჯანმრთელობის დაცვა,Program,Healthcare Program
30 04,შინაგან საქმეთა სამინისტროს სისიტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურებით უზრუნველყოფა,Program,Provision of Healthcare Services to the System of the Ministry of Interior
35 02,მოსახლეობის სოციალური დაცვა,Program,Social Security and Pensions
58 09,საქართველოს სახელმწიფო ჯილდოებისათვის დაწესებული ერთდროული ფულადი პრემიების გაცემის ფინანსური უზრუნველყოფა,Program,Financial Support Of Monetary State Rewards
35 03 03 09,რეფერალური მომსახურება,Program,Dialyze And Kidney Transplantation
28 01 02,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,Program,Financial Liabilities Of Georgia At International Organizations
37 01 06,თანამედროვე ტექნოლოგიების პოპულარიზაცია,Program,Promotion Of Modern Technologies
35 01 04,სოციალური და ჯანმრთელობის დაცვის პროგრამების მართვა,Program,Social And Healthcare Program Management
39 00,საქართველოს სპორტისა და ახალგაზრდობის საქმეთა სამინისტრო,SpendingAgency,Ministry of Sport and Youth Affairs of Georgia
48 00,ა ა იპ - რიჩარდ გ ლუგარის საზოგადოებრივი ჯანმრთელობის კვლევითი ცენტრი,SpendingAgency,NNLP – Central Referral Laboratory of Public Health Care
45 12,ა ა იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,Program,Grant for NNLP Training Centre in Akhalkalaki And Kumurdo
37 01 08,აგროსექტორის განვითარება ხელშეწყობა,Program,Agriculture Sector Developments/Simulation
26 03,ეროვნული საარქივო ფონდის დაცულობის მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა,Program,"Protection Of National Archive Fund, Introduction Of Modern Technologies Of Services And Ensured Access To Documents"
26 05,ელექტრონული მმართველობის განვითარება,Program,Development Of E-Governance
32 02 04,განსაკუთრებით ნიჭიერი ახალგაზრდების წახალისება,Program,Stimulation Of Particularly Talented Youth
36 01 03,ყაზბეგის მუნიციპალიტეტისა და დუშეთის მუნიციპალიტეტის მაღალმთიანი სოფლების მოსახლეობისათვის მიწოდებული ბუნებრივი აირის ღირებულების ანაზღაურების ღონისძიება,Program,Paying for Gas Supplies For Kazbegi Municipality and Dusheti Municipality Mountainous Villages
10 00,საქართველოს იუსტიციის უმაღლესი საბჭო,SpendingAgency,Supreme Council Of Justice Of Georgia
30 01,საზოგადოებრივი წესრიგისა და სახელმწიფო საზღვრის დაცვა,Program,Public Order And Sovereign Border Protection
24 09,საფრანგეთის სასაქონლო დახმარება საფრანგეთი,Program,French Commodity Support (France)
36 02 01,ენგურის ჰიდროელექტროსადგურის რეაბილიტაციის პროექტი (EBRD),Program,Rehabilitation Of Enguri Hydro Power Plant (HPP) (EBRD)
53 11,დონორების მიერ დაფინანსებული საერთო სახელმწიფოებრივი გადასახდელები,Program,General State Payments Financed By Donors
03 02,ეროვნული უსაფრთხოების პოლიტიკის ღონისძიებები,Program,Activities Of National Security Policy
27 04,ჯანმრთელობის დაცვის ხელშეწყობა პატიმრობისა და თავისუფლების აღკვეთის დაწესებულებებში,Program,Stimulation of Healthcare at Penitentiary System Institutions
